Date	Heure	Produit	Employé	Nombre	Prix Unitaire	Prix Total
12/01/2026	19:50:00	Burritos	Jason Parker	5	$695,00	$3 475,00
12/01/2026	19:50:00	Tacos	Jason Parker	11	$746,00	$8 206,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
		Aucun	Aucun	0	$0,00	$0,00
				16	$1 441,00	$11 681,00
